university_name,degree_level,program_name,document_name,required,notes,source_url,last_verified
Aalto University,Master,University-wide international master's admissions,Degree certificate,If graduated,Upload with official translations when required.,https://www.aalto.fi/en/admission-services/masters-admissions,2026-03-14
Aalto University,Master,University-wide international master's admissions,Transcript of records,Yes,Upload by 2026-01-09 if applying for autumn 2026 intake.,https://www.aalto.fi/en/admission-services/masters-admissions,2026-03-14
Aalto University,Master,University-wide international master's admissions,Proof of language proficiency,Yes,Accepted methods are listed on Aalto language requirements page.,https://www.aalto.fi/en/admission-services/language-requirements-in-masters-admissions,2026-03-14
Aalto University,Master,University-wide international master's admissions,Study-option-specific documents,Check programme,Programme page may require GRE or GMAT or portfolio depending on field.,https://www.aalto.fi/en/admission-services/masters-admissions,2026-03-14
University of Helsinki,Master,International master's programmes,Degree certificate,If graduated,Upload official educational documents in the application form.,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/apply-international-masters-programmes/how-apply,2026-03-14
University of Helsinki,Master,International master's programmes,Transcript of records,Yes,Final transcript required for all applicants; latest transcript if degree incomplete.,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/apply-international-masters-programmes/how-apply,2026-03-14
University of Helsinki,Master,International master's programmes,Proof of language proficiency,Yes,English proficiency document required unless exempt.,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/application-attachments,2026-03-14
University of Helsinki,Master,International master's programmes,Programme-specific attachments,Check programme,Programmes may require motivation letter CV or other materials.,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/how-apply-to-international-masters-programmes,2026-03-14
Tampere University,Master,University master's programmes,Degree certificate,If graduated,Completed-degree applicants must later submit officially certified documents by 2026-05-29.,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes,2026-03-14
Tampere University,Master,University master's programmes,Transcript of records,Yes,Latest transcript is accepted for unfinished degrees during the application phase.,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes,2026-03-14
Tampere University,Master,University master's programmes,Proof of language proficiency,Yes,Tampere requires proof of proficiency in the language of instruction.,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes/faq-on-applying,2026-03-14
Tampere University,Master,University master's programmes,Programme-specific documents,Check programme,Programme pages may require motivation letter CV portfolio or interview.,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/applying-to-university-masters-programmes,2026-03-14
University of Turku,Master,International master's degree programmes,Degree certificate,If graduated,Attach scans of original degree certificate and official translation if needed.,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,2026-03-14
University of Turku,Master,International master's degree programmes,Transcript of records,Yes,Most recent transcript is accepted if the applicant has not yet graduated.,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,2026-03-14
University of Turku,Master,International master's degree programmes,Proof of language skills,Yes,Language proof options are listed on the UTU language requirements page referenced from the application guide.,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,2026-03-14
University of Turku,Master,International master's degree programmes,Passport or identity card,Yes,Residence permit card also required if applying for fee exemption based on permit.,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,2026-03-14
University of Turku,Master,International master's degree programmes,Programme-specific documents,Check programme,Examples include motivation letters self-introduction videos or other programme-specific materials.,https://www.utu.fi/en/study-at-utu/apply-to-masters-programmes,2026-03-14
University of Oulu,Master,International master's programmes,Proof of language skills,Yes,Language proof must be attached during the application period.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
University of Oulu,Master,International master's programmes,Transcript of records,Yes,Copy of transcript required for all applicants.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
University of Oulu,Master,International master's programmes,Degree certificate,If graduated,Copy required if degree already completed.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
University of Oulu,Master,International master's programmes,Official translations,If needed,Required if original documents are not in Finnish Swedish or English.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
University of Oulu,Master,International master's programmes,Passport or identity card,Yes,Identification document must be attached to the application.,https://www.oulu.fi/en/apply/how-apply/documents,2026-03-14
